Dataset,ID,essay_content,Orignal_Info,topic,Generated_MEC,Generated_DEV,Generated_VOC,Generated_REL,Generated_ORG,Generated_STY,Generated_STR
ZAEBUC,0,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-268469,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,3
ZAEBUC,1,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-386369,**Replace with topic from ZAEBUC**,4,3,4,2,3,4,3
ZAEBUC,2,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-81027,**Replace with topic from ZAEBUC**,2,2,2,1,2,2,3
ZAEBUC,3,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-81757,**Replace with topic from ZAEBUC**,5,4,5,2,5,4,5
ZAEBUC,4,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-83625,**Replace with topic from ZAEBUC**,1,1,1,1,1,1,1
ZAEBUC,5,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-85891,**Replace with topic from ZAEBUC**,1,2,2,1,2,1,3
ZAEBUC,6,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-87953,**Replace with topic from ZAEBUC**,3,2,3,1,2,2,3
ZAEBUC,7,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-89249,**Replace with topic from ZAEBUC**,2,3,3,2,3,3,2
ZAEBUC,8,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-89881,**Replace with topic from ZAEBUC**,3,2,2,1,2,2,3
ZAEBUC,9,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-90528,**Replace with topic from ZAEBUC**,2,3,3,1,3,2,2
ZAEBUC,10,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-92524,**Replace with topic from ZAEBUC**,4,3,4,1,2,4,3
ZAEBUC,11,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-92800,**Replace with topic from ZAEBUC**,2,2,2,1,2,2,2
ZAEBUC,12,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-93360,**Replace with topic from ZAEBUC**,5,4,5,1,4,4,5
ZAEBUC,13,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-96339,**Replace with topic from ZAEBUC**,4,3,4,2,4,4,3
ZAEBUC,14,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-96683,**Replace with topic from ZAEBUC**,4,3,3,2,3,3,3
ZAEBUC,15,**Replace with orignal text from ZAEBUC**,Document_x:AR-030-97791,**Replace with topic from ZAEBUC**,2,3,3,1,2,3,3
ZAEBUC,16,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-119813,**Replace with topic from ZAEBUC**,2,2,2,1,2,2,3
ZAEBUC,17,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-119831,**Replace with topic from ZAEBUC**,1,1,1,1,1,1,1
ZAEBUC,18,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-121991965,**Replace with topic from ZAEBUC**,3,3,3,2,3,3,2
ZAEBUC,19,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-165859,**Replace with topic from ZAEBUC**,4,3,4,2,3,3,3
ZAEBUC,20,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-165949,**Replace with topic from ZAEBUC**,5,3,4,2,4,4,5
ZAEBUC,21,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-168718,**Replace with topic from ZAEBUC**,5,4,4,2,4,4,5
ZAEBUC,22,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-186196,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,3
ZAEBUC,23,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-187968,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,3
ZAEBUC,24,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-188359,**Replace with topic from ZAEBUC**,2,2,2,1,2,2,3
ZAEBUC,25,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-188826,**Replace with topic from ZAEBUC**,4,4,5,2,4,4,2
ZAEBUC,26,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-188847,**Replace with topic from ZAEBUC**,3,2,3,1,2,3,2
ZAEBUC,27,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-188945,**Replace with topic from ZAEBUC**,2,3,3,1,2,2,2
ZAEBUC,28,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-189349,**Replace with topic from ZAEBUC**,5,4,4,2,4,4,3
ZAEBUC,29,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-189525,**Replace with topic from ZAEBUC**,4,3,3,1,3,2,2
ZAEBUC,30,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-189611,**Replace with topic from ZAEBUC**,4,3,4,2,4,4,3
ZAEBUC,31,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-189750,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,5
ZAEBUC,32,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-189799,**Replace with topic from ZAEBUC**,5,4,5,2,4,4,5
ZAEBUC,33,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-189921,**Replace with topic from ZAEBUC**,4,3,3,2,2,3,2
ZAEBUC,34,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-190122,**Replace with topic from ZAEBUC**,3,3,3,1,3,3,2
ZAEBUC,35,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-190307,**Replace with topic from ZAEBUC**,5,3,5,1,3,4,5
ZAEBUC,36,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-190317,**Replace with topic from ZAEBUC**,3,3,3,2,3,2,3
ZAEBUC,37,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-190447,**Replace with topic from ZAEBUC**,5,4,5,2,4,4,5
ZAEBUC,38,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-190745,**Replace with topic from ZAEBUC**,4,3,3,2,4,2,3
ZAEBUC,39,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-190808,**Replace with topic from ZAEBUC**,4,3,3,2,3,3,2
ZAEBUC,40,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-190855,**Replace with topic from ZAEBUC**,4,3,4,2,3,3,2
ZAEBUC,41,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-190863,**Replace with topic from ZAEBUC**,4,3,4,2,4,3,3
ZAEBUC,42,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-191075,**Replace with topic from ZAEBUC**,3,3,3,2,3,2,2
ZAEBUC,43,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-191088,**Replace with topic from ZAEBUC**,4,2,3,2,3,2,3
ZAEBUC,44,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-191115,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,3
ZAEBUC,45,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-191242,**Replace with topic from ZAEBUC**,4,3,4,2,4,3,3
ZAEBUC,46,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-191743,**Replace with topic from ZAEBUC**,4,3,4,2,4,4,3
ZAEBUC,47,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-191794,**Replace with topic from ZAEBUC**,4,3,4,2,4,4,2
ZAEBUC,48,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-191809,**Replace with topic from ZAEBUC**,3,3,3,1,3,3,2
ZAEBUC,49,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-191850,**Replace with topic from ZAEBUC**,3,3,3,2,3,3,2
ZAEBUC,50,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192155,**Replace with topic from ZAEBUC**,2,2,3,2,2,2,2
ZAEBUC,51,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192218,**Replace with topic from ZAEBUC**,4,3,4,2,3,3,2
ZAEBUC,52,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192387,**Replace with topic from ZAEBUC**,3,2,2,1,2,2,3
ZAEBUC,53,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192490,**Replace with topic from ZAEBUC**,5,3,4,2,4,4,3
ZAEBUC,54,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192528,**Replace with topic from ZAEBUC**,3,3,3,2,3,3,2
ZAEBUC,55,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192582,**Replace with topic from ZAEBUC**,2,2,3,1,2,2,3
ZAEBUC,56,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192654,**Replace with topic from ZAEBUC**,4,3,4,2,4,4,3
ZAEBUC,57,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192696,**Replace with topic from ZAEBUC**,4,4,4,2,4,4,3
ZAEBUC,58,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192707,**Replace with topic from ZAEBUC**,4,3,4,2,4,4,3
ZAEBUC,59,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192747,**Replace with topic from ZAEBUC**,4,3,3,2,3,3,3
ZAEBUC,60,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192751,**Replace with topic from ZAEBUC**,4,3,3,2,4,3,2
ZAEBUC,61,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192885,**Replace with topic from ZAEBUC**,3,3,3,2,3,2,2
ZAEBUC,62,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192922,**Replace with topic from ZAEBUC**,3,3,3,1,2,3,2
ZAEBUC,63,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-192949,**Replace with topic from ZAEBUC**,4,3,3,1,2,3,3
ZAEBUC,64,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-193363,**Replace with topic from ZAEBUC**,3,2,3,2,4,2,3
ZAEBUC,65,**Replace with orignal text from ZAEBUC**,Document_x:AR-130-193451,**Replace with topic from ZAEBUC**,4,3,3,2,4,3,3
